file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,,,,,
mao,modified,false,branch_uniform,1,1,1,1,41,800,14030,5323,0.527238,0.002945,69,26,1.581395,1,4,1,8.608696,14,,,,,
mao,modified,false,branch_uniform,1,1,1,1,41,833,14030,5323,0.539173,0.003498,69,23,1.478261,1,3,1,10.072464,18,,,,,
mao,modified,false,branch_uniform,1,1,1,1,41,842,14030,5323,0.551661,0.002608,69,25,1.545455,1,4,1,9.376812,16,,,,,
mao,modified,false,branch_uniform,1,1,1,1,41,814,14030,5323,0.527614,0.00258,69,21,1.416667,1,4,1,8.492754,13,,,,,
mao,modified,false,branch_uniform,1,1,1,1,41,845,14030,5323,0.56721,0.003646,69,23,1.478261,1,4,1,9.57971,15,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,48,948,14030,5323,0.65054,0.003788,69,24,1.511111,1,3,1,9.768116,18,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,48,954,14030,5323,0.651011,0.003965,69,24,1.511111,1,3,1,11.289855,20,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,48,946,14030,5323,0.646888,0.003332,69,21,1.416667,1,3,1,10.710145,17,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,48,947,14030,5323,0.632086,0.004053,69,24,1.511111,1,4,1,11.695652,18,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,48,961,14030,5323,0.648413,0.002934,69,25,1.545455,1,4,1,11.623188,20,,,,,
mao,modified,false,branch_uniform,1,1,1,1,48,802,14030,5323,0.645366,0.00336,69,26,1.581395,1,3,1,9.637681,16,,,,,
mao,modified,false,branch_uniform,1,1,1,1,48,788,14030,5323,0.637566,0.003514,69,22,1.446809,1,4,1,9.855072,19,,,,,
mao,modified,false,branch_uniform,1,1,1,1,48,802,14030,5323,0.66213,0.003327,69,24,1.511111,1,3,1,10.246377,20,,,,,
mao,modified,false,branch_uniform,1,1,1,1,48,786,14030,5323,0.676527,0.00293,69,24,1.511111,1,4,1,11.347826,20,,,,,
mao,modified,false,branch_uniform,1,1,1,1,48,793,14030,5323,0.919828,0.002869,69,25,1.545455,1,4,1,11.289855,18,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,55,933,14030,5323,0.988206,0.003131,69,19,1.36,1,3,1,11.028986,20,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,55,947,14030,5323,0.743079,0.003409,69,22,1.446809,1,3,1,8.942029,14,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,55,953,14030,5323,0.72402,0.003272,69,24,1.511111,1,4,1,12.028986,21,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,55,940,14030,5323,0.73336,0.003556,69,23,1.478261,1,3,1,10.463768,21,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,55,937,14030,5323,1.027267,0.003906,69,21,1.416667,1,3,1,9.086957,18,,,,,
mao,modified,false,branch_uniform,1,1,1,1,55,803,14030,5323,0.712828,0.002793,69,25,1.545455,1,3,1,11.826087,19,,,,,
mao,modified,false,branch_uniform,1,1,1,1,55,797,14030,5323,0.717538,0.00304,69,24,1.511111,1,3,1,10.376812,18,,,,,
